"id","policy_id","condition_key","operator","expected_value","required","question_id","evidence_text","source_url","source_location","extraction_method","admin_review_status","evaluation_mode"
"1","1","RESIDENCE_REGION","EQ","SEOUL","true","1","서울시 거주 또는 서울 내 주택 계약 등 공고 요건 확인","https://housing.seoul.go.kr/site/main/content/sh01_0400800","03_policy_rule.csv#row:1:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"2","1","MARRIAGE_STATUS","IN","MARRIED|PRE_MARRIED","true","2","신혼부부 또는 예비신혼부부","https://housing.seoul.go.kr/site/main/content/sh01_0400800","03_policy_rule.csv#row:2:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"3","1","HOUSEHOLD_INCOME","LTE","OFFICIAL_THRESHOLD","true","6","부부합산 연소득 기준","https://housing.seoul.go.kr/site/main/content/sh01_0400800","03_policy_rule.csv#row:3:source_text","REVIEWED_CSV_BASELINE","NEEDS_OFFICIAL_CONFIRMATION","OFFICIAL_CONFIRMATION_REQUIRED"
"4","1","RENT_CONTRACT_STATUS","IN","PLANNED|SIGNED","true","9","임대차계약 및 대출 실행 시점 확인","https://housing.seoul.go.kr/site/main/content/sh01_0400800","03_policy_rule.csv#row:4:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"5","1","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택 요건 확인","https://housing.seoul.go.kr/site/main/content/sh01_0400800","03_policy_rule.csv#row:5:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"6","2","RELATED_POLICY_USED","CONTAINS","POLICY_1","true","20","서울시 신혼부부 임차보증금 이자지원 신규 대출자","https://housing.seoul.go.kr/site/main/content/sh01_0400811","03_policy_rule.csv#row:6:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"7","2","GUARANTEE_PROVIDER","EQ","HF","true","21","한국주택금융공사 반환보증 가입","https://housing.seoul.go.kr/site/main/content/sh01_0400811","03_policy_rule.csv#row:7:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"8","2","GUARANTEE_FEE_PAID","EQ","YES","true","22","보증료 납부 완료","https://housing.seoul.go.kr/site/main/content/sh01_0400811","03_policy_rule.csv#row:8:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"9","3","RESIDENCE_REGION","EQ","SEOUL","true","1","서울시 신청 기준","https://housing.seoul.go.kr/site/main/content/sh01_061030","03_policy_rule.csv#row:9:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"10","3","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","주택 소유자 제외","https://housing.seoul.go.kr/site/main/content/sh01_061030","03_policy_rule.csv#row:10:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"11","3","GUARANTEE_FEE_PAID","EQ","YES","true","22","반환보증 가입 및 보증료 납부","https://housing.seoul.go.kr/site/main/content/sh01_061030","03_policy_rule.csv#row:11:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
"12","3","RELATED_POLICY_USED","NOT_CONTAINS","POLICY_2","true","20","서울시 신혼부부 반환보증료 지원 기수혜자 제외","https://housing.seoul.go.kr/site/main/content/sh01_061030","03_policy_rule.csv#row:12:source_text","REVIEWED_CSV_BASELINE","APPROVED","DETERMINISTIC"
