"id","category_id","condition_key","question_text","answer_type","options","priority","parent_question_id","show_condition"
"1","1","RESIDENCE_REGION","현재 주민등록상 거주지는 어디인가요?","SINGLE_SELECT","[{""label"":""서울"",""value"":""SEOUL""},{""label"":""경기"",""value"":""GYEONGGI""},{""label"":""인천"",""value"":""INCHEON""},{""label"":""기타"",""value"":""OTHER""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","1","",""
"2","1","MARRIAGE_STATUS","현재 혼인 상태는 어떻게 되나요?","SINGLE_SELECT","[{""label"":""결혼 예정"",""value"":""PRE_MARRIED""},{""label"":""혼인신고 완료"",""value"":""MARRIED""},{""label"":""사실혼"",""value"":""COMMON_LAW""},{""label"":""한부모"",""value"":""SINGLE_PARENT""},{""label"":""해당 없음"",""value"":""NONE""}]","2","",""
"3","3","MARRIAGE_REGISTRATION_DATE","혼인신고일은 언제인가요?","DATE","","3","",""
"4","1","RESIDENCE_DURATION_DAYS","서울에 연속으로 거주한 기간은 얼마나 되나요?","NUMBER","","4","1","{""condition_key"":""RESIDENCE_REGION"",""operator"":""EQ"",""value"":""SEOUL""}"
"5","1","HOME_OWNERSHIP","부부 두 분 모두 무주택인가요?","SINGLE_SELECT","[{""label"":""예"",""value"":""HOMEOWNER""},{""label"":""아니오"",""value"":""HOUSELESS""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","5","",""
"6","1","HOUSEHOLD_INCOME","부부합산 연소득 또는 최근 소득자료를 입력할 수 있나요?","MONEY","","6","",""
"7","1","HOUSEHOLD_ASSET","부부합산 순자산 규모를 알고 있나요?","MONEY","","7","",""
"8","1","CURRENT_HOUSING_TYPE","현재 주거 형태는 무엇인가요?","SINGLE_SELECT","[{""label"":""전세"",""value"":""JEONSE""},{""label"":""월세"",""value"":""MONTHLY_RENT""},{""label"":""자가"",""value"":""OWNER_OCCUPIED""},{""label"":""가족과 거주"",""value"":""FAMILY_HOME""},{""label"":""기타"",""value"":""OTHER""}]","8","",""
"9","1","RENT_CONTRACT_STATUS","전·월세 계약은 어느 단계인가요?","SINGLE_SELECT","[{""label"":""계약 전"",""value"":""BEFORE_CONTRACT""},{""label"":""계약 예정"",""value"":""PLANNED""},{""label"":""계약 완료"",""value"":""SIGNED""},{""label"":""해당 없음"",""value"":""NONE""}]","9","",""
"10","3","WEDDING_STATUS","결혼식 준비 상태는 어떻게 되나요?","SINGLE_SELECT","[{""label"":""미정"",""value"":""UNDECIDED""},{""label"":""예정"",""value"":""PLANNED""},{""label"":""장소 예약 완료"",""value"":""RESERVED""},{""label"":""예식 완료"",""value"":""COMPLETED""}]","10","",""
"11","5","PREGNANCY_OR_POSTPARTUM","현재 임신·출산 단계는 어떻게 되나요?","SINGLE_SELECT","[{""label"":""임신 준비"",""value"":""PREPARING""},{""label"":""임신 중"",""value"":""PREGNANT""},{""label"":""출산 후"",""value"":""POSTPARTUM""},{""label"":""해당 없음"",""value"":""NONE""}]","11","",""
"12","5","CHILD_COUNT","자녀는 몇 명인가요?","NUMBER","","12","",""
"13","5","CHILD_BIRTH_DATE","자녀의 출생일 또는 출산예정일은 언제인가요?","DATE","","13","11","{""condition_key"":""PREGNANCY_OR_POSTPARTUM"",""operator"":""IN"",""value"":[""PREGNANT"",""POSTPARTUM""]}"
"20","1","RELATED_POLICY_USED","이미 신청하거나 지원받은 관련 정책이 있나요?","MULTI_SELECT","[{""label"":""서울시 임차보증금 이자지원"",""value"":""POLICY_1""},{""label"":""반환보증료 지원"",""value"":""POLICY_2""},{""label"":""공공예식장 비품비"",""value"":""POLICY_16""},{""label"":""결혼·살림비"",""value"":""POLICY_17""},{""label"":""없음"",""value"":""NONE""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","20","",""
"21","1","GUARANTEE_PROVIDER","가입한 전세보증금 반환보증 기관은 어디인가요?","SINGLE_SELECT","[{""label"":""HF"",""value"":""HF""},{""label"":""HUG"",""value"":""HUG""},{""label"":""SGI"",""value"":""SGI""},{""label"":""미가입"",""value"":""NONE""},{""label"":""잘 모르겠어요"",""value"":""UNKNOWN""}]","21","9","{""condition_key"":""RENT_CONTRACT_STATUS"",""operator"":""EQ"",""value"":""SIGNED""}"
"22","1","GUARANTEE_FEE_PAID","반환보증 보증료를 이미 납부했나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""}]","22","21","{""condition_key"":""GUARANTEE_PROVIDER"",""operator"":""IN"",""value"":[""HF"",""HUG"",""SGI""]}"
"23","1","HOUSING_COST_EXISTS","현재 월세나 전세대출 이자를 부담하고 있나요?","BOOLEAN","[{""label"":""예"",""value"":""YES""},{""label"":""아니오"",""value"":""NO""}]","23","",""
