"id","from_policy_id","to_policy_id","relation_type","description","admin_review_status"
"1","16","17","BEFORE","공공예식장 예약 후 예식일 전 비품비 지원 신청","APPROVED"
"2","17","18","CONFLICT","공공예식장 비품비 지원과 결혼·살림비 지원은 중복 제한 여부 확인","APPROVED"
"3","18","20","REEVALUATE_AFTER","혼인신고 후 결혼세액공제 대상 재평가","APPROVED"
"4","1","2","BEFORE","임차보증금 이자지원 신규 대출 및 HF 반환보증 가입 후 보증료 신청","APPROVED"
"5","2","3","ALTERNATIVE","보증료 지원사업 간 중복 수혜 제한 확인","APPROVED"
"6","10","1","ALTERNATIVE","중앙정부 전세자금대출과 서울시 이자지원의 동시 이용 가능 여부 은행 확인","APPROVED"
"7","12","10","ALTERNATIVE","버팀목 일반형과 신혼부부전용 전세자금 비교","APPROVED"
"8","13","11","ALTERNATIVE","디딤돌 일반형과 신혼부부전용 구입자금 비교","APPROVED"
"9","14","11","ALTERNATIVE","신생아 특례 구입자금과 신혼부부전용 구입자금 비교","APPROVED"
"10","15","10","ALTERNATIVE","신생아 특례 전세자금과 신혼부부전용 전세자금 비교","APPROVED"
"11","26","27","AFTER","출산 후 산후조리경비 신청 가능 여부 확인","APPROVED"
"12","26","35","RELATED","임신확인 후 임신·출산 진료비와 교통비를 함께 확인","APPROVED"
"13","27","34","RELATED","산후조리경비와 산모·신생아 건강관리 서비스 병행 가능 여부 확인","APPROVED"
"14","28","29","AFTER","첫만남이용권 이후 영아 월령에 따라 부모급여로 이어짐","APPROVED"
"15","29","30","RELATED","부모급여와 아동수당은 별도 요건으로 함께 확인","APPROVED"
"16","29","31","RELATED","어린이집 이용 여부와 아이돌봄서비스 지원방식 비교","APPROVED"
"17","31","32","ALTERNATIVE","공공 아이돌봄과 친인척·민간 돌봄 지원 비교","APPROVED"
"18","4","14","RELATED","출산가구 주거비 지원과 신생아 특례 구입대출 비교","APPROVED"
"19","4","15","RELATED","출산가구 주거비 지원과 신생아 특례 전세대출 비교","APPROVED"
"20","5","6","ALTERNATIVE","행복주택과 신혼희망타운 모집조건·주택유형 비교","APPROVED"
"21","7","8","ALTERNATIVE","매입임대와 전세임대의 주택 탐색·계약 방식 비교","APPROVED"
"22","9","4","REEVALUATE_AFTER","미리내집 입주 후 출산 시 추가 혜택 및 주거비 지원 재평가","APPROVED"
"23","20","21","RELATED","연말정산 시 혼인세액공제와 자녀세액공제를 함께 검토","APPROVED"
"24","21","22","RELATED","자녀 기본공제와 해당 연도 출산·입양 공제를 구분하여 적용","APPROVED"
