"policy_id","category_code","category_name","policy_name","summary","managing_agency","status","application_start_date","application_end_date","normalized_rules","application_url","source_url","verified_at","caution"
"1","HOUSING","주거","서울시 신혼부부 임차보증금 이자지원","서울 거주 신혼부부·예비신혼부부의 임차보증금 대출 이자를 지원","서울특별시","ACTIVE","","","RESIDENCE_REGION EQ SEOUL || MARRIAGE_STATUS IN MARRIED|PRE_MARRIED || HOUSEHOLD_INCOME LTE OFFICIAL_THRESHOLD || RENT_CONTRACT_STATUS IN PLANNED|SIGNED || HOME_OWNERSHIP EQ HOUSELESS","https://housing.seoul.go.kr/site/main/content/sh01_0400800","https://housing.seoul.go.kr/site/main/content/sh01_0400800","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"2","HOUSING","주거","신혼부부 임차보증금 반환보증 보증료 지원","서울시 신혼부부 임차보증금 이자지원 신규 대출자의 HF 반환보증 보증료를 지원","서울특별시","ACTIVE","","","RELATED_POLICY_USED CONTAINS POLICY_1 || GUARANTEE_PROVIDER EQ HF || GUARANTEE_FEE_PAID EQ YES","https://housing.seoul.go.kr/site/main/content/sh01_0400811","https://housing.seoul.go.kr/site/main/content/sh01_0400811","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"3","HOUSING","주거","전세보증금 반환보증 보증료 지원","청년·신혼부부 등이 납부한 전세보증금 반환보증 보증료를 한도 내 지원","국토교통부·서울특별시","ACTIVE","","","RESIDENCE_REGION EQ SEOUL || HOME_OWNERSHIP EQ HOUSELESS || GUARANTEE_FEE_PAID EQ YES || RELATED_POLICY_USED NOT_CONTAINS POLICY_2","https://housing.seoul.go.kr/site/main/content/sh01_061030","https://housing.seoul.go.kr/site/main/content/sh01_061030","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"4","HOUSING","주거","자녀출산 무주택가구 주거비 지원","서울 거주 무주택 출산가구의 주거비 부담을 완화하는 지원","서울특별시","PERIODIC","","","RESIDENCE_REGION EQ SEOUL || CHILD_BIRTH_DATE IN_PERIOD OFFICIAL_PERIOD || HOME_OWNERSHIP EQ HOUSELESS || HOUSING_COST_EXISTS EQ YES","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"5","HOUSING","주거","행복주택 신혼부부 공급","신혼부부·예비신혼부부 등 젊은 계층에 공공임대주택을 우선 공급","LH·SH","RECRUITMENT_BASED","","","MARRIAGE_STATUS IN MARRIED|PRE_MARRIED|SINGLE_PARENT || HOUSEHOLD_INCOME LTE ANNOUNCEMENT_THRESHOLD || HOME_OWNERSHIP EQ HOUSELESS || SUBSCRIPTION_ANNOUNCEMENT EQ OPEN","https://housing.seoul.go.kr/site/main/content/sh01_060503","https://housing.seoul.go.kr/site/main/content/sh01_060503","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"6","HOUSING","주거","신혼희망타운","신혼부부·예비신혼부부·한부모가족을 위한 분양·임대 주택 공급","국토교통부·LH","RECRUITMENT_BASED","","","MARRIAGE_STATUS IN MARRIED|PRE_MARRIED|SINGLE_PARENT || HOME_OWNERSHIP EQ HOUSELESS || HOUSEHOLD_INCOME LTE ANNOUNCEMENT_THRESHOLD || SUBSCRIPTION_ANNOUNCEMENT EQ OPEN","https://housing.seoul.go.kr/site/main/content/sh01_060511","https://housing.seoul.go.kr/site/main/content/sh01_060511","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"7","HOUSING","주거","신혼부부 매입임대주택","LH·SH가 매입한 주택을 신혼부부 등에게 시세보다 낮은 임대료로 공급","LH·SH","RECRUITMENT_BASED","","","MARRIAGE_STATUS IN MARRIED|PRE_MARRIED|SINGLE_PARENT || HOME_OWNERSHIP EQ HOUSELESS || HOUSEHOLD_INCOME LTE ANNOUNCEMENT_THRESHOLD || SUBSCRIPTION_ANNOUNCEMENT EQ OPEN","https://apply.lh.or.kr","https://apply.lh.or.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"8","HOUSING","주거","신혼부부 전세임대주택","입주대상자가 찾은 전세주택을 공공기관이 계약한 뒤 재임대","LH","RECRUITMENT_BASED","","","MARRIAGE_STATUS IN MARRIED|PRE_MARRIED|SINGLE_PARENT || HOME_OWNERSHIP EQ HOUSELESS || HOUSEHOLD_INCOME LTE ANNOUNCEMENT_THRESHOLD || SUBSCRIPTION_ANNOUNCEMENT EQ OPEN","https://apply.lh.or.kr","https://apply.lh.or.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"9","HOUSING","주거","미리내집(장기전세주택Ⅱ)","신혼부부에게 장기전세주택을 공급하고 출산 시 거주·매입 관련 혜택을 연계","서울특별시·SH","RECRUITMENT_BASED","","","RESIDENCE_REGION EQ SEOUL || MARRIAGE_STATUS IN MARRIED|PRE_MARRIED || HOME_OWNERSHIP EQ HOUSELESS || SUBSCRIPTION_ANNOUNCEMENT EQ OPEN","https://www.i-sh.co.kr","https://www.i-sh.co.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"10","LOAN","대출","신혼부부전용 전세자금","무주택 신혼가구의 전세보증금 마련을 위한 주택도시기금 정책대출","주택도시기금","ACTIVE","","","MARRIAGE_STATUS IN MARRIED|PRE_MARRIED || HOME_OWNERSHIP EQ HOUSELESS || HOUSEHOLD_INCOME LTE OFFICIAL_THRESHOLD || HOUSEHOLD_ASSET LTE OFFICIAL_THRESHOLD || RENT_CONTRACT_STATUS EQ SIGNED","https://nhuf.molit.go.kr","https://nhuf.molit.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"11","LOAN","대출","신혼부부전용 구입자금","신혼가구의 주택 구입을 지원하는 주택도시기금 정책대출","주택도시기금","ACTIVE","","","MARRIAGE_STATUS IN MARRIED|PRE_MARRIED || HOME_OWNERSHIP EQ HOUSELESS || HOUSEHOLD_INCOME LTE OFFICIAL_THRESHOLD || HOUSEHOLD_ASSET LTE OFFICIAL_THRESHOLD || HOME_PURCHASE_STATUS IN PLANNED|SIGNED","https://nhuf.molit.go.kr","https://nhuf.molit.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"12","LOAN","대출","버팀목 전세자금대출","무주택 서민·신혼가구의 전세자금을 지원하는 정책대출","주택도시기금","ACTIVE","","","HOME_OWNERSHIP EQ HOUSELESS || HOUSEHOLD_INCOME LTE OFFICIAL_THRESHOLD || HOUSEHOLD_ASSET LTE OFFICIAL_THRESHOLD || RENT_CONTRACT_STATUS EQ SIGNED","https://housing.seoul.go.kr/site/main/content/sh01_070400","https://housing.seoul.go.kr/site/main/content/sh01_070400","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"13","LOAN","대출","디딤돌대출","무주택 실수요자의 주택 구입을 지원하는 장기 고정금리 정책대출","주택도시기금·한국주택금융공사","ACTIVE","","","HOME_OWNERSHIP EQ HOUSELESS || HOUSEHOLD_INCOME LTE OFFICIAL_THRESHOLD || HOUSEHOLD_ASSET LTE OFFICIAL_THRESHOLD || HOME_PURCHASE_STATUS IN PLANNED|SIGNED","https://nhuf.molit.go.kr","https://nhuf.molit.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
"14","LOAN","대출","신생아 특례 디딤돌대출","출산가구의 주택 구입자금을 우대 조건으로 지원","주택도시기금","ACTIVE","","","CHILD_BIRTH_DATE IN_PERIOD OFFICIAL_PERIOD || HOME_OWNERSHIP EQ HOUSELESS || HOUSEHOLD_INCOME LTE OFFICIAL_THRESHOLD || HOME_PURCHASE_STATUS IN PLANNED|SIGNED","https://nhuf.molit.go.kr","https://nhuf.molit.go.kr","2026-08-05","공식 공고 우선; 금액·소득·자산·모집기간은 수시 변경 가능"
