id,category_id,name,summary,managing_agency,application_url,application_start_date,application_end_date,status,source_url,verified_at
1,1,서울시 신혼부부 임차보증금 이자지원,서울 거주 신혼부부·예비신혼부부의 임차보증금 대출 이자를 지원,서울특별시,https://housing.seoul.go.kr/site/main/content/sh01_0400800,,,ACTIVE,https://housing.seoul.go.kr/site/main/content/sh01_0400800,2026-08-05
2,1,신혼부부 임차보증금 반환보증 보증료 지원,서울시 신혼부부 임차보증금 이자지원 신규 대출자의 HF 반환보증 보증료를 지원,서울특별시,https://housing.seoul.go.kr/site/main/content/sh01_0400811,,,ACTIVE,https://housing.seoul.go.kr/site/main/content/sh01_0400811,2026-08-05
3,1,전세보증금 반환보증 보증료 지원,청년·신혼부부 등이 납부한 전세보증금 반환보증 보증료를 한도 내 지원,국토교통부·서울특별시,https://housing.seoul.go.kr/site/main/content/sh01_061030,,,ACTIVE,https://housing.seoul.go.kr/site/main/content/sh01_061030,2026-08-05
4,1,자녀출산 무주택가구 주거비 지원,서울 거주 무주택 출산가구의 주거비 부담을 완화하는 지원,서울특별시,https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78,,,PERIODIC,https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78,2026-08-05
5,1,행복주택 신혼부부 공급,신혼부부·예비신혼부부 등 젊은 계층에 공공임대주택을 우선 공급,LH·SH,https://housing.seoul.go.kr/site/main/content/sh01_060503,,,RECRUITMENT_BASED,https://housing.seoul.go.kr/site/main/content/sh01_060503,2026-08-05
6,1,신혼희망타운,신혼부부·예비신혼부부·한부모가족을 위한 분양·임대 주택 공급,국토교통부·LH,https://housing.seoul.go.kr/site/main/content/sh01_060511,,,RECRUITMENT_BASED,https://housing.seoul.go.kr/site/main/content/sh01_060511,2026-08-05
7,1,신혼부부 매입임대주택,LH·SH가 매입한 주택을 신혼부부 등에게 시세보다 낮은 임대료로 공급,LH·SH,https://apply.lh.or.kr,,,RECRUITMENT_BASED,https://apply.lh.or.kr,2026-08-05
8,1,신혼부부 전세임대주택,입주대상자가 찾은 전세주택을 공공기관이 계약한 뒤 재임대,LH,https://apply.lh.or.kr,,,RECRUITMENT_BASED,https://apply.lh.or.kr,2026-08-05
9,1,미리내집(장기전세주택Ⅱ),신혼부부에게 장기전세주택을 공급하고 출산 시 거주·매입 관련 혜택을 연계,서울특별시·SH,https://www.i-sh.co.kr,,,RECRUITMENT_BASED,https://www.i-sh.co.kr,2026-08-05
10,2,신혼부부전용 전세자금,무주택 신혼가구의 전세보증금 마련을 위한 주택도시기금 정책대출,주택도시기금,https://nhuf.molit.go.kr,,,ACTIVE,https://nhuf.molit.go.kr,2026-08-05
11,2,신혼부부전용 구입자금,신혼가구의 주택 구입을 지원하는 주택도시기금 정책대출,주택도시기금,https://nhuf.molit.go.kr,,,ACTIVE,https://nhuf.molit.go.kr,2026-08-05
12,2,버팀목 전세자금대출,무주택 서민·신혼가구의 전세자금을 지원하는 정책대출,주택도시기금,https://housing.seoul.go.kr/site/main/content/sh01_070400,,,ACTIVE,https://housing.seoul.go.kr/site/main/content/sh01_070400,2026-08-05
13,2,디딤돌대출,무주택 실수요자의 주택 구입을 지원하는 장기 고정금리 정책대출,주택도시기금·한국주택금융공사,https://nhuf.molit.go.kr,,,ACTIVE,https://nhuf.molit.go.kr,2026-08-05
14,2,신생아 특례 디딤돌대출,출산가구의 주택 구입자금을 우대 조건으로 지원,주택도시기금,https://nhuf.molit.go.kr,,,ACTIVE,https://nhuf.molit.go.kr,2026-08-05
15,2,신생아 특례 버팀목대출,출산가구의 전세자금을 우대 조건으로 지원,주택도시기금,https://nhuf.molit.go.kr,,,ACTIVE,https://nhuf.molit.go.kr,2026-08-05
16,3,더 아름다운 결혼식 공공예식장,서울의 공공·민간 협력 공간을 예식장으로 개방하고 상담·예식 진행을 지원,서울특별시,https://wedding.seoulwomen.or.kr,,,ACTIVE,https://mediahub.seoul.go.kr/archives/2017932,2026-08-05
17,3,더 아름다운 결혼식 비품비 지원,서울시 지정 공공예식장 이용 예비부부에게 결혼식 비품비 바우처를 지원,서울특별시,https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=5131BE613817CADFE063A60221622406,,,BUDGET_LIMITED,https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=5131BE613817CADFE063A60221622406,2026-08-05
18,3,신혼부부 결혼·살림비용 지원,결혼준비와 신혼살림 장만 비용을 예산 범위에서 지원하는 서울시 사업,서울특별시,https://umppa.seoul.go.kr/hmpg/sprt/mhsa/bzin/bzmgPageDetail.do?biz_mng_no=39F20DDC3669EB66E063A6022162575E,2025-10-13,2025-10-24,PILOT_OR_BUDGET_LIMITED,https://umppa.seoul.go.kr/hmpg/sprt/mhsa/bzin/bzmgPageDetail.do?biz_mng_no=39F20DDC3669EB66E063A6022162575E,2026-08-05
19,3,더 아름다운 결혼식 연계 혼수가전 할인,공공예식장 예약자에게 협약기업의 혼수가전 할인 혜택을 연계,서울특별시·협약기업,https://mediahub.seoul.go.kr/archives/2017812,,,ACTIVE,https://mediahub.seoul.go.kr/archives/2017812,2026-08-05
20,4,결혼세액공제,2024~2026년 혼인신고자에게 생애 1회 적용되는 혼인 관련 세액공제,국세청,https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&nttSn=1340311,,,ACTIVE,https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&nttSn=1340311,2026-08-05
21,4,자녀세액공제,기본공제 대상 자녀 수에 따라 종합소득 산출세액에서 공제,국세청,https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596,,,ACTIVE,https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596,2026-08-05
22,4,출산·입양 세액공제,해당 과세기간에 출산하거나 입양 신고한 자녀에 대해 세액공제,국세청,https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596,,,ACTIVE,https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7875&mi=6596,2026-08-05
23,4,월세액 세액공제,요건을 충족하는 무주택 근로자·성실사업자의 월세액 일부를 세액공제,국세청,https://www.nts.go.kr,,,ACTIVE,https://www.nts.go.kr,2026-08-05
24,4,주택청약종합저축 소득공제,요건을 충족하는 무주택 세대주의 청약저축 납입액 일부를 소득공제,국세청,https://www.nts.go.kr,,,ACTIVE,https://www.nts.go.kr,2026-08-05
25,4,출산·보육수당 비과세,근로자가 받는 출산·보육 관련 수당을 세법상 한도와 요건에 따라 비과세,국세청,https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&mi=&nttSn=1340093,,,ACTIVE,https://www.nts.go.kr/webtv/na/ntt/selectNttList.do?bbsId=30148&mi=&nttSn=1340093,2026-08-05
26,5,서울시 임산부 교통비 지원,서울 거주 임산부에게 출생순위 등에 따라 교통비 바우처를 지원,서울특별시,https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=34B5EA8BEB354E2DB26136CFE52AEFF2,,,ACTIVE,https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=34B5EA8BEB354E2DB26136CFE52AEFF2,2026-08-05
27,5,서울형 산후조리경비 지원,서울 거주 산모의 건강회복과 산후조리를 위한 바우처 지원,서울특별시,https://umppa.seoul.go.kr,,,ACTIVE,https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78,2026-08-05
28,5,첫만남이용권,출생아에게 국민행복카드 바우처로 초기 양육비를 지원,보건복지부,https://www.bokjiro.go.kr,,,ACTIVE,https://www.bokjiro.go.kr,2026-08-05
29,5,부모급여,영아를 가정에서 양육하거나 보육서비스를 이용할 때 월 단위 급여·바우처를 지원,보건복지부,https://www.bokjiro.go.kr,,,ACTIVE,https://www.bokjiro.go.kr,2026-08-05
30,5,아동수당,연령 요건을 충족하는 아동에게 월 단위 현금급여를 지원,보건복지부,https://www.bokjiro.go.kr,,,ACTIVE,https://www.bokjiro.go.kr,2026-08-05
31,5,아이돌봄서비스,맞벌이 등 양육공백 가정에 아이돌보미가 방문하여 돌봄을 제공하고 소득에 따라 비용을 지원,여성가족부,https://www.idolbom.go.kr,,,ACTIVE,https://www.idolbom.go.kr,2026-08-05
32,5,서울형 아이돌봄비(손주돌봄·민간돌봄),조부모 등 친인척 돌봄 또는 민간 돌봄서비스 이용 가정에 돌봄비를 지원,서울특별시,https://umppa.seoul.go.kr,,,PERIODIC,https://umppa.seoul.go.kr,2026-08-05
33,5,서울아기 건강 첫걸음,간호사가 출산가정을 방문하여 산모·영아 건강관리와 양육상담을 제공,서울특별시,https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78,,,ACTIVE,https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78,2026-08-05
34,5,산모·신생아 건강관리 지원,출산가정에 건강관리사가 방문하여 산모 회복과 신생아 양육을 지원,보건복지부·서울특별시,https://www.bokjiro.go.kr,,,ACTIVE,https://www.bokjiro.go.kr,2026-08-05
35,5,국민행복카드 임신·출산 진료비 지원,임신·출산 관련 진료비를 국민행복카드 바우처로 지원,국민건강보험공단,https://www.nhis.or.kr,,,ACTIVE,https://www.nhis.or.kr,2026-08-05
36,5,1인 자영업자 등 임산부 출산급여 지원,서울시 1인 자영업자·프리랜서 등 임산부의 출산으로 인한 소득감소를 보완,서울특별시,https://umppa.seoul.go.kr,,,ACTIVE,https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78,2026-08-05
37,5,1인 자영업자 등 배우자 출산휴가급여 지원,서울시 1인 자영업자 등에게 배우자 출산휴가급여를 지원,서울특별시,https://umppa.seoul.go.kr/hmpg/sprt/pgpt/bzin/bzmgPageDetail.do?biz_mng_no=16A62AE6CE162993E063A6022162A5D2,,,ACTIVE,https://umppa.seoul.go.kr/hmpg/sprt/pgpt/bzin/bzmgPageDetail.do?biz_mng_no=16A62AE6CE162993E063A6022162A5D2,2026-08-05
38,5,소상공인 민간 아이돌봄 지원,서울시 소상공인 사업주·근로자 등의 민간 아이돌봄 이용비를 지원,서울특별시,https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=E9FF6E0FEFF74EBCA2E954130EAA7C74,2026-06-10,2026-06-24,PERIODIC,https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtDetail.do?biz_mng_no=E9FF6E0FEFF74EBCA2E954130EAA7C74,2026-08-05
