"id","policy_id","document_id","document_type","chunk_kind","heading","content","source_url","source_location","quality_status","content_hash","embedding"
"chunk_overview_001","1","1","OVERVIEW","OVERVIEW","서울시 신혼부부 임차보증금 이자지원 개요","서울시 신혼부부 임차보증금 이자지원. 서울 거주 신혼부부·예비신혼부부의 임차보증금 대출 이자를 지원. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://housing.seoul.go.kr/site/main/content/sh01_0400800","08_policy_document.csv#row:1:content","APPROVED","13dfe2a025e4ccf84ef5d67eb8bf10b06399cff90546f724e25656105b71fa02",""
"chunk_overview_002","2","2","OVERVIEW","OVERVIEW","신혼부부 임차보증금 반환보증 보증료 지원 개요","신혼부부 임차보증금 반환보증 보증료 지원. 서울시 신혼부부 임차보증금 이자지원 신규 대출자의 HF 반환보증 보증료를 지원. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://housing.seoul.go.kr/site/main/content/sh01_0400811","08_policy_document.csv#row:2:content","APPROVED","037033dc52c9984e9a6804c777a021f3c32e3be001e49f7f7e279e2126806c12",""
"chunk_overview_003","3","3","OVERVIEW","OVERVIEW","전세보증금 반환보증 보증료 지원 개요","전세보증금 반환보증 보증료 지원. 청년·신혼부부 등이 납부한 전세보증금 반환보증 보증료를 한도 내 지원. 관리기관: 국토교통부·서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://housing.seoul.go.kr/site/main/content/sh01_061030","08_policy_document.csv#row:3:content","APPROVED","b3f77806ed53a647996e2f8f5a40ee4c43d4c6ff343c843c76a08d5256caca66",""
"chunk_overview_004","4","4","OVERVIEW","OVERVIEW","자녀출산 무주택가구 주거비 지원 개요","자녀출산 무주택가구 주거비 지원. 서울 거주 무주택 출산가구의 주거비 부담을 완화하는 지원. 관리기관: 서울특별시. 상태: PERIODIC. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","08_policy_document.csv#row:4:content","APPROVED","271ccd691e57b13d3b872b1e0d9de4e3d1fd06363c598f4e375c60da88605562",""
"chunk_overview_005","5","5","OVERVIEW","OVERVIEW","행복주택 신혼부부 공급 개요","행복주택 신혼부부 공급. 신혼부부·예비신혼부부 등 젊은 계층에 공공임대주택을 우선 공급. 관리기관: LH·SH. 상태: RECRUITMENT_BASED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://housing.seoul.go.kr/site/main/content/sh01_060503","08_policy_document.csv#row:5:content","APPROVED","3800630c1dd71ff8b980f6f2e362f6d2a4688532432eeba701c3d4ed24d372d2",""
"chunk_overview_006","6","6","OVERVIEW","OVERVIEW","신혼희망타운 개요","신혼희망타운. 신혼부부·예비신혼부부·한부모가족을 위한 분양·임대 주택 공급. 관리기관: 국토교통부·LH. 상태: RECRUITMENT_BASED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://housing.seoul.go.kr/site/main/content/sh01_060511","08_policy_document.csv#row:6:content","APPROVED","974b6b42d49e309360a1a34e7754eacc63064699fedaacf016bfc9c9f23686f9",""
"chunk_overview_007","7","7","OVERVIEW","OVERVIEW","신혼부부 매입임대주택 개요","신혼부부 매입임대주택. LH·SH가 매입한 주택을 신혼부부 등에게 시세보다 낮은 임대료로 공급. 관리기관: LH·SH. 상태: RECRUITMENT_BASED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://apply.lh.or.kr","08_policy_document.csv#row:7:content","APPROVED","99126a30fd36e38bdc729363e903b7f324be1fceb6ff5e000ebedfa78c633077",""
"chunk_overview_008","8","8","OVERVIEW","OVERVIEW","신혼부부 전세임대주택 개요","신혼부부 전세임대주택. 입주대상자가 찾은 전세주택을 공공기관이 계약한 뒤 재임대. 관리기관: LH. 상태: RECRUITMENT_BASED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://apply.lh.or.kr","08_policy_document.csv#row:8:content","APPROVED","5b6e60b0d341a7e2e66e67b97a842ab58d42d9092d90547f2755735f54436972",""
"chunk_overview_009","9","9","OVERVIEW","OVERVIEW","미리내집(장기전세주택Ⅱ) 개요","미리내집(장기전세주택Ⅱ). 신혼부부에게 장기전세주택을 공급하고 출산 시 거주·매입 관련 혜택을 연계. 관리기관: 서울특별시·SH. 상태: RECRUITMENT_BASED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.i-sh.co.kr","08_policy_document.csv#row:9:content","APPROVED","8b3fe36c8655cc670c0e95d23d274ba02ef093104df9e1ee1ac51d71ab2e4c85",""
"chunk_overview_010","10","10","OVERVIEW","OVERVIEW","신혼부부전용 전세자금 개요","신혼부부전용 전세자금. 무주택 신혼가구의 전세보증금 마련을 위한 주택도시기금 정책대출. 관리기관: 주택도시기금. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://nhuf.molit.go.kr","08_policy_document.csv#row:10:content","APPROVED","7373d0ec7ab5cc2105716701081211edae34fa13e5e1b32bac54634542a48996",""
