"id","policy_id","document_type","title","content","source_url","document_status","trust_level","embedding"
"1","1","OVERVIEW","서울시 신혼부부 임차보증금 이자지원 개요","서울시 신혼부부 임차보증금 이자지원. 서울 거주 신혼부부·예비신혼부부의 임차보증금 대출 이자를 지원. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://housing.seoul.go.kr/site/main/content/sh01_0400800","APPROVED","OFFICIAL",""
"2","2","OVERVIEW","신혼부부 임차보증금 반환보증 보증료 지원 개요","신혼부부 임차보증금 반환보증 보증료 지원. 서울시 신혼부부 임차보증금 이자지원 신규 대출자의 HF 반환보증 보증료를 지원. 관리기관: 서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://housing.seoul.go.kr/site/main/content/sh01_0400811","APPROVED","OFFICIAL",""
"3","3","OVERVIEW","전세보증금 반환보증 보증료 지원 개요","전세보증금 반환보증 보증료 지원. 청년·신혼부부 등이 납부한 전세보증금 반환보증 보증료를 한도 내 지원. 관리기관: 국토교통부·서울특별시. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://housing.seoul.go.kr/site/main/content/sh01_061030","APPROVED","OFFICIAL",""
"4","4","OVERVIEW","자녀출산 무주택가구 주거비 지원 개요","자녀출산 무주택가구 주거비 지원. 서울 거주 무주택 출산가구의 주거비 부담을 완화하는 지원. 관리기관: 서울특별시. 상태: PERIODIC. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://umppa.seoul.go.kr/hmpg/life/vwal/contPageDetail.do?conts_no=4AA6EA0D7CD11876E063A6022162EE78","APPROVED","OFFICIAL",""
"5","5","OVERVIEW","행복주택 신혼부부 공급 개요","행복주택 신혼부부 공급. 신혼부부·예비신혼부부 등 젊은 계층에 공공임대주택을 우선 공급. 관리기관: LH·SH. 상태: RECRUITMENT_BASED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://housing.seoul.go.kr/site/main/content/sh01_060503","APPROVED","OFFICIAL",""
"6","6","OVERVIEW","신혼희망타운 개요","신혼희망타운. 신혼부부·예비신혼부부·한부모가족을 위한 분양·임대 주택 공급. 관리기관: 국토교통부·LH. 상태: RECRUITMENT_BASED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://housing.seoul.go.kr/site/main/content/sh01_060511","APPROVED","OFFICIAL",""
"7","7","OVERVIEW","신혼부부 매입임대주택 개요","신혼부부 매입임대주택. LH·SH가 매입한 주택을 신혼부부 등에게 시세보다 낮은 임대료로 공급. 관리기관: LH·SH. 상태: RECRUITMENT_BASED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://apply.lh.or.kr","APPROVED","OFFICIAL",""
"8","8","OVERVIEW","신혼부부 전세임대주택 개요","신혼부부 전세임대주택. 입주대상자가 찾은 전세주택을 공공기관이 계약한 뒤 재임대. 관리기관: LH. 상태: RECRUITMENT_BASED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://apply.lh.or.kr","APPROVED","OFFICIAL",""
"9","9","OVERVIEW","미리내집(장기전세주택Ⅱ) 개요","미리내집(장기전세주택Ⅱ). 신혼부부에게 장기전세주택을 공급하고 출산 시 거주·매입 관련 혜택을 연계. 관리기관: 서울특별시·SH. 상태: RECRUITMENT_BASED. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://www.i-sh.co.kr","APPROVED","OFFICIAL",""
"10","10","OVERVIEW","신혼부부전용 전세자금 개요","신혼부부전용 전세자금. 무주택 신혼가구의 전세보증금 마련을 위한 주택도시기금 정책대출. 관리기관: 주택도시기금. 상태: ACTIVE. 신청기간은 상시가 아닐 수 있으며 모집공고·예산·세부 소득 및 자산기준을 공식 원문에서 재확인해야 합니다. 검증일: 2026-08-05.","https://nhuf.molit.go.kr","APPROVED","OFFICIAL",""
