table,column,description
policy,status,"ACTIVE, RECRUITMENT_BASED, PERIODIC, PILOT_OR_BUDGET_LIMITED, BUDGET_LIMITED"
policy_rule,condition_key,사용자 조건을 표현하는 정규화 키
policy_rule,operator,"EQ, IN, LTE, GTE, BETWEEN, IN_PERIOD, CONTAINS 등"
policy_rule,expected_value,정확한 수치가 변동될 경우 OFFICIAL_THRESHOLD/ANNOUNCEMENT_THRESHOLD 사용
policy_rule,evaluation_mode,"DETERMINISTIC, OFFICIAL_CONFIRMATION_REQUIRED"
policy_rule,review_status,"APPROVED, DRAFT; 결정형 계산은 APPROVED만 허용"
question,options,"label과 canonical value를 갖는 JSON 객체 배열"
question,show_condition,"condition_key, operator, value를 갖는 조건부 질문 JSON 객체"
policy_relation,relation_type,"BEFORE, AFTER, RELATED, ALTERNATIVE, CONFLICT, REEVALUATE_AFTER"
policy_document,embedding,pgvector 적재 전에는 빈 값; 임베딩 파이프라인에서 생성
policy_document_chunk,source_location,원문 내 제목·조항·문단·표 행 위치
policy_document_chunk,quality_status,"APPROVED, REVIEW_REQUIRED; APPROVED만 임베딩 입력 허용"
policy_document_chunk,content_hash,Chunk content UTF-8 bytes의 SHA-256
policy_document_chunk,embedding,실제 임베딩 생성 전에는 빈 값
policy_rule_seed,evidence_text,관리자 검수 기준본의 Rule 근거 문구
policy_rule_seed,source_url,Rule이 연결된 정책의 공식 원문 URL
policy_rule_seed,baseline_source_location,검수 기준본에서 근거 문구를 재현할 수 있는 행과 필드 위치
policy_rule_seed,official_source_location,공식 문서 내부의 제목·조항·문단 위치; 미확인 시 빈 값
policy_rule_seed,admin_review_status,"APPROVED, NEEDS_OFFICIAL_CONFIRMATION"
question_seed,admin_review_status,관리자 검수 완료 여부
policy_relation_seed,evidence_text,관계 판단의 근거 문구
policy_relation_seed,from_source_url,출발 정책의 공식 원문 URL
policy_relation_seed,from_official_source_location,출발 정책 공식 문서 내부 위치; 미확인 시 빈 값
policy_relation_seed,to_source_url,도착 정책의 공식 원문 URL
policy_relation_seed,to_official_source_location,도착 정책 공식 문서 내부 위치; 미확인 시 빈 값
policy_relation_seed,baseline_source_location,검수 기준본에서 관계 설명을 재현할 수 있는 위치
policy_relation_seed,admin_review_status,관리자 검수 완료 여부
